Letter,ID,P1,P2,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category,Time
AA,24605002.abf,-52.02444077,-29.44143105,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0
AA,24605002.abf,-68.61636353,-94.86148071,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.083333333
AA,24605002.abf,-121.6205826,-35.56100845,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.166666667
AA,24605002.abf,-74.6877594,-28.30103874,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.25
AA,24605002.abf,-57.95930481,-47.58332825,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.333333333
AA,24605002.abf,-34.96672058,-28.25285339,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.416666667
AA,24605002.abf,-61.35639572,-66.23920441,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.5
AA,24605002.abf,-77.4102478,-31.02352715,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.583333333
AA,24605002.abf,-59.28441238,-55.01195145,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.666666667
AA,24605002.abf,-132.3177948,-28.55802917,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.75
AA,24605002.abf,-98.80467224,-47.53514481,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.833333333
AA,24605002.abf,-91.7695694,-54.53812408,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,0.916666667
AA,24605002.abf,-78.31774139,-37.42418671,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1
AA,24605002.abf,-28.28497696,-34.99884415,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.083333333
AA,24605002.abf,-81.51406097,-55.26893997,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.166666667
AA,24605002.abf,-55.01195145,-32.42894363,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.25
AA,24605002.abf,-95.72079468,-50.55477905,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.333333333
AA,24605002.abf,-73.00125885,-32.71805573,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.416666667
AA,24605002.abf,-63.68536758,-77.72344971,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.5
AA,24605002.abf,-77.29781342,-74.2460556,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.583333333
AA,24605002.abf,-33.44084167,-62.12736511,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.666666667
AA,24605002.abf,-46.42687225,-63.516716,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.75
AA,24605002.abf,-121.9900055,-34.70972824,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.833333333
AA,24605002.abf,-29.33703041,-48.25792694,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,1.916666667
AA,24605002.abf,-80.01226807,-36.67731094,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2
AA,24605002.abf,-48.25792694,-34.219841,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.083333333
AA,24605002.abf,-59.71005249,-76.79989624,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.166666667
AA,24605002.abf,-59.49321365,-30.80669212,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.25
AA,24605002.abf,-28.02798653,-51.83169556,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.333333333
AA,24605002.abf,-77.1612854,-28.94351387,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.416666667
AA,24605002.abf,-52.1689949,-49.11723709,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.5
AA,24605002.abf,-63.74961472,-60.6978569,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,2.583333333
