"Letter","ID","P1","P2","Cell","Sex","X","Y","Age","Animal","Synapses","Treatment","Category","Time"
"B","Concatenate076",-78.31774139,-56.34508514,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0
"B","Concatenate076",-67.59643555,-89.5690918,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.0833333333333333
"B","Concatenate076",-80.97598267,-94.40371704,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.166666666666667
"B","Concatenate076",-78.22940063,-58.69815063,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.25
"B","Concatenate076",-45.57559204,-89.52090454,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.333333333333333
"B","Concatenate076",-74.03725433,-78.30971527,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.416666666666667
"B","Concatenate076",-96.12233734,-65.60475922,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.5
"B","Concatenate076",-76.31803894,-58.61784363,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.583333333333333
"B","Concatenate076",-53.85549545,-67.89357758,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.666666666666667
"B","Concatenate076",-126.5033951,-90.49265289,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.75
"B","Concatenate076",-85.93107605,-63.34806824,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.833333333333333
"B","Concatenate076",-76.888237,-98.25054169,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,0.916666666666667
"B","Concatenate076",-81.59436798,-101.125618,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1
"B","Concatenate076",-59.66186523,-134.7351074,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.08333333333333
"B","Concatenate076",-69.90934753,-88.83024597,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.16666666666667
"B","Concatenate076",-85.58574677,-69.10625458,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.25
"B","Concatenate076",-55.40546799,-97.51972198,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.33333333333333
"B","Concatenate076",-71.09792328,-137.6262512,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.41666666666667
"B","Concatenate076",-87.28027344,-57.98339844,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.5
"B","Concatenate076",-67.97389221,-95.43971252,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.58333333333333
"B","Concatenate076",-83.08009338,-103.8320465,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.66666666666667
"B","Concatenate076",-88.82221222,-72.34272003,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.75
"B","Concatenate076",-57.0518074,-104.6592331,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.83333333333333
"B","Concatenate076",-63.18745041,-107.1327591,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,1.91666666666667
"B","Concatenate076",-79.21720886,-67.01017761,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2
"B","Concatenate076",-80.40578461,-71.86086273,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.08333333333333
"B","Concatenate076",-95.35137177,-83.14434052,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.16666666666667
"B","Concatenate076",-46.94888306,-130.5670471,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.25
"B","Concatenate076",-92.82162476,-140.4290466,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.33333333333333
"B","Concatenate076",-105.18927,-81.38555908,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.41666666666667
"B","Concatenate076",-68.18269348,-95.03816223,"2.1.1","Male",NA,NA,75,2,"Glutamate","Cre",1,2.5
